awardnumber,startfiscalyear,endfiscalyear,directcost,allocation_niicode,institution_niicode,project_length,field_niicode,institution_table_group,doi,Title,Authors,Source Title,Publication Date,Publication Year,Conference Title,Conference Date,Total Citations,Average per Year,ave3,ave5
23340090,2011,2013,15400000,0,82108,3,SE,10,10.1063/1.4792315,Visible single-photon emission from a nitrogen impurity center in AlAs,"Jo, M.; Mano, T.; Kuroda, T.; Sakuma, Y.; Sakoda, K.",APPLIED PHYSICS LETTERS,FEB 11 2013,2013,,,10.0,0.91,2.666666667,2.0
23340090,2011,2013,15400000,0,82108,3,SE,10,10.1016/j.jcrysgro.2012.12.129,Size-dependent contact angle of Ga droplets on GaAs,"Jo, Masafumi; Mano, Takaaki; Sakuma, Yoshiki; Sakoda, Kazuaki",JOURNAL OF CRYSTAL GROWTH,SEP 1 2013,2013,17th International Conference on Molecular Beam Epitaxy (MBE),"SEP 23-28, 2012",6.0,0.55,0.333333333,0.4
23340090,2011,2013,15400000,0,82108,3,SE,10,10.1016/j.jcrysgro.2012.12.155,Self-assembly of Ga droplets attached to GaAs quantum dots,"Elborg, Martin; Noda, Takeshi; Mano, Takaaki; Jo, Masafumi; Sakuma, Yoshiki; Sakoda, Kazuaki",JOURNAL OF CRYSTAL GROWTH,SEP 1 2013,2013,17th International Conference on Molecular Beam Epitaxy (MBE),"SEP 23-28, 2012",3.0,0.27,0.0,0.4
23340090,2011,2013,15400000,0,82108,3,SE,10,10.1063/1.4869261,Tight-binding analysis of the electronic states in AlAs with N isoelectronic impurities,"Jo, M.; Mano, T.; Sakuma, Y.; Sakoda, K.",JOURNAL OF APPLIED PHYSICS,MAR 28 2014,2014,,,2.0,0.2,0.333333333,0.4
23340090,2011,2013,15400000,0,82108,3,SE,10,10.1007/s00339-013-7905-y,Emission from a dipole-forbidden energy state in a GaAs quantum-ring induced by dressed photon,"Yatsui, T.; Nomura, W.; Mano, T.; Miyazaki, H. T.; Sakoda, K.; Kawazoe, T.; Ohtsu, M.",APPLIED PHYSICS A-MATERIALS SCIENCE & PROCESSING,APR 2014,2014,,,3.0,0.3,1.0,0.6
23340090,2011,2013,15400000,0,82108,3,SE,10,10.1063/1.3589965,Structural atomic-scale analysis of GaAs/AlGaAs quantum wires and quantum dots grown by droplet epitaxy on a (311)A substrate,"Keizer, J. G.; Jo, M.; Mano, T.; Noda, T.; Sakodam, K.; Koenraad, P. M.",APPLIED PHYSICS LETTERS,MAY 9 2011,2011,,,15.0,1.15,1.666666667,1.4
23340090,2011,2013,15400000,0,82108,3,SE,10,10.1063/1.3577960,Shape control of quantum dots studied by cross-sectional scanning tunneling microscopy,"Keizer, J. G.; Bozkurt, M.; Bocquel, J.; Mano, T.; Noda, T.; Sakoda, K.; Clark, E. C.; Bichler, M.; Abstreiter, G.; Finley, J. J.; Lu, W.; Rohel, T.; Folliot, H.; Bertru, N.; Koenraad, P. M.",JOURNAL OF APPLIED PHYSICS,MAY 15 2011,2011,30th International Conference on the Physics of Semiconductors (ICPS-30),"JUL 25-30, 2010",10.0,0.77,0.666666667,0.8
23340090,2011,2013,15400000,0,82108,3,SE,10,10.3938/jkps.58.1244,Shape Control of QDs Studied by Cross-sectional Scanning Tunneling Microscopy,"Keizer, J. G.; Bozkurt, M.; Bocquel, J.; Koenraad, P. M.; Mano, T.; Noda, T.; Sakoda, K.; Clark, E. C.; Bichler, M.; Abstreiter, G.; Finley, J. J.; Lu, W.; Rohel, T.; Folliot, H.; Bertru, N.",JOURNAL OF THE KOREAN PHYSICAL SOCIETY,MAY 2011,2011,30th International Conference on the Physics of Semiconductors (ICPS-30),"JUL 25-30, 2010",1.0,0.08,0.0,0.0
23340090,2011,2013,15400000,0,82108,3,SE,10,10.1063/1.3601016,Scanning Fabry-Perot interferometer with largely tuneable free spectral range for high resolution spectroscopy of single quantum dots,"Abbarchi, Marco; Kuroda, Takashi; Duval, Romain; Mano, Takaaki; Sakoda, Kazuaki",REVIEW OF SCIENTIFIC INSTRUMENTS,JUL 2011,2011,,,6.0,0.46,0.333333333,0.6
23340090,2011,2013,15400000,0,82108,3,SE,10,10.1088/0957-4484/22/33/335201,Lasing in ultra-narrow emission from GaAs quantum dots coupled with a two-dimensional layer,"Jo, M.; Mano, T.; Sakoda, K.",NANOTECHNOLOGY,AUG 19 2011,2011,,,13.0,1.0,2.0,2.0
23340090,2011,2013,15400000,0,82108,3,SE,10,10.1021/cg200930v,Two-Step Formation of Gallium Droplets with High Controllability of Size and Density,"Jo, Masafumi; Mano, Takaaki; Sakoda, Kazuaki",CRYSTAL GROWTH & DESIGN,OCT 2011,2011,,,13.0,1.0,1.0,2.0
23360300,2011,2013,14800000,0,12102,3,SE,1,10.1016/j.scriptamat.2013.10.007,Effect of Sn addition on stress hysteresis and superelastic properties of a Ti-15Nb-3Mo alloy,"Ijaz, Muhammad Farzik; Kim, Hee Young; Hosoda, Hideki; Miyazaki, Shuichi",SCRIPTA MATERIALIA,FEB 2014,2014,,,49.0,4.9,4.333333333,4.2
23360300,2011,2013,14800000,0,12102,3,SE,1,10.1016/j.actamat.2013.10.048,Origin of {332} twinning in metastable beta-Ti alloys,"Tobe, Hirobumi; Kim, Hee Young; Inamura, Tomonari; Hosoda, Hideki; Miyazaki, Shuichi",ACTA MATERIALIA,FEB 2014,2014,,,115.0,11.5,5.0,9.0
23360300,2011,2013,14800000,0,12102,3,SE,1,10.1016/j.actamat.2013.04.060,Nanodomain structure and its effect on abnormal thermal expansion behavior of a Ti-23Nb-2Zr-0.7Ta-1.2O alloy,"Kim, Hee Young; Wei, Lesi; Kobayashi, Shuhei; Tahara, Masaki; Miyazaki, Shuichi",ACTA MATERIALIA,AUG 2013,2013,,,90.0,8.18,4.0,6.4
23360300,2011,2013,14800000,0,12102,3,SE,1,10.1016/j.jallcom.2012.02.023,Effect of Nb content on deformation behavior and shape memory properties of Ti-Nb alloys,"Tobe, H.; Kim, H. Y.; Inamura, T.; Hosoda, H.; Nam, T. H.; Miyazaki, S.",JOURNAL OF ALLOYS AND COMPOUNDS,NOV 15 2013,2013,13th International Conference on Martensitic Transformations (ICOMAT),"SEP 04-09, 2011",44.0,4.0,2.666666667,2.6
